T0303,OFFSET,T0808,OFFSET,T0909,OFFSET,,,0.333
0.200,0.010,0.200,0.010,0.200,0.010,,,
0.202,0.008,0.202,0.008,0.202,0.008,,,
0.204,0.006,0.204,0.006,0.204,0.006,,,
0.206,0.004,0.206,0.004,0.206,0.004,,,
0.208,0.002,0.208,0.002,0.208,0.002,,,
0.210,0.000,0.210,0.000,0.210,0.000,,,
0.212,-0.002,0.212,-0.002,0.212,-0.002,,,
0.214,-0.004,0.214,-0.004,0.214,-0.004,,,
0.216,-0.006,0.216,-0.006,0.216,-0.006,,,
0.218,-0.008,0.218,-0.008,0.218,-0.008,,,
0.220,-0.010,0.220,-0.010,0.220,-0.010,,,
,,,,,,,,
WCS,,,,,,,,
18.815,,,,,,,,
19.148,,,,,,,,
19.481,,,,,,,,
19.814,,,,,,,,
20.147,,,,,,,,
20.48,,,,,,,,
20.813,,,,,,,,
21.146,,,,,,,,
21.479,,,,,,,,
21.812,,,,,,,,
22.145,,,,,,,,
22.478,,,,,,,,
